Number,Condition
AUT0002539,short_descriptionLIKELow disk space^ORshort_descriptionLIKEmount has high disk space^ORdescriptionLIKEavailable space on disk^ORdescriptionLIKELow disk space^ORdescriptionLIKEmount has high disk space^ORshort_descriptionLIKEUsed Space is more^short_descriptionNOT LIKEMultiple infrastructure problems^assignment_group=c5baef8b1b5fa4d0bdcb42a7b04bcb6a^EQ
AUT0002535,short_descriptionLIKEDynatrace: No service running for rule CrowdStrike Agent Status^ORdescriptionLIKENo service running for rule CrowdStrike Agent Status^ORdescriptionLIKECrowdStrike Agent Status^ORshort_descriptionLIKEMultiple infrastructure problems - CrowdStrike Falcon Sensor Service^assignment_group=d8ba6f8b1b5fa4d0bdcb42a7b04bcb5b^EQ
AUT0002534,short_descriptionLIKEOrder Stuck in customer accepted status rSQE^descriptionLIKEEXP^ORdescriptionLIKECSP^business_service=c87392bcdb1f6410609eae3bd39619f4^EQ
AUT0002533,short_descriptionLIKENCE.TechnicalEligibility.NoBroadbandSpeedsAvailable^assignment_group=dff0e0a61bbac9d8ddcc42ead34bcbcc^EQ
AUT0002531,short_descriptionLIKEAssetalignments^short_descriptionLIKEDelay in response^assignment_group=b5ba63cb1b5fa4d0bdcb42a7b04bcbaf^EQ
AUT0002530,short_descriptionLIKENCE.TechnicalEligibility.NoBroadbandSpeedsAvailable^assignment_group=dff0e0a61bbac9d8ddcc42ead34bcbcc^EQ
AUT0002526,short_descriptionSTARTSWITHAIOPS - SHOP SRT DEPLOYMENT TEST^EQ
AUT0002525,assignment_group=b0baaf8b1b5fa4d0bdcb42a7b04bcbc9^short_descriptionLIKEDynatrace: Network problem - Oracle Database (peg15e2)^EQ
AUT0002523,short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEService Invocation Failure in Integration Composite service^assignment_group=bf3c4c571b8361108e7440c3b24bcbdc^EQ
AUT0002521,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=2d539a7cdb1f6410609eae3bd3961963^EQ
AUT0002516,short_descriptionLIKE/var^EQ
AUT0002515,short_descriptionLIKEelasticsearch^EQ
AUT0002514,short_descriptionLIKEdocker volumn^EQ
AUT0002502,short_descriptionLIKEOSS Database Access - Create User Data Permissions^assignment_group=b6ba67cb1b5fa4d0bdcb42a7b04bcb12^EQ
AUT0002495,short_descriptionLIKEConnectivity problem^assignment_group=57aa6b8b1b5fa4d0bdcb42a7b04bcb39^ORassignment_group=1faa6b8b1b5fa4d0bdcb42a7b04bcb3a^EQ
AUT0002492,"assignment_group=a6aaa78b1b5fa4d0bdcb42a7b04bcb53^short_descriptionLIKEBilling failed, incorrect CPS^EQ"
AUT0002489,short_descriptionLIKEEligibilityUnavailabilityReasonGeneric^business_serviceLIKEAPP21258^assignment_group=0bf06ce61b3e09908466337f034bcbdc^EQ
AUT0002487,short_descriptionLIKEBAL LOW INODES^assignment_group=a6aaa78b1b5fa4d0bdcb42a7b04bcb53^EQ
AUT0002486,short_descriptionLIKELOW BAL APP^assignment_group=a6aaa78b1b5fa4d0bdcb42a7b04bcb53^EQ
AUT0002485,short_descriptionLIKEFailure in EDW_Feed_Generation Process^assignment_group=a6aaa78b1b5fa4d0bdcb42a7b04bcb53^EQ
AUT0002484,short_descriptionLIKEFailure in EDW_Feed_Generation Process^assignment_group=a6aaa78b1b5fa4d0bdcb42a7b04bcb53^EQ
AUT0002482,short_descriptionLIKEBusiness ZeroOps: AUTOFIX_OS_FAULT_SYNC AR^business_service=b9539a7cdb1f6410609eae3bd3961985^ORbusiness_service=b5539a7cdb1f6410609eae3bd3961983^EQ
AUT0002478,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=fc63de7cdb1f6410609eae3bd3961934^EQ
AUT0002477,short_descriptionLIKEpourab^EQ
AUT0002470,business_serviceLIKEProvident^short_descriptionLIKEPlan.com^ORshort_descriptionLIKE2999999^assignment_group=c89b07fb9792255098c970ee2153af5a^EQ
AUT0002467,short_descriptionLIKELow number of inodes available^assignment_group=57aa6b8b1b5fa4d0bdcb42a7b04bcb39^EQ
AUT0002466,short_descriptionLIKECPU saturation^assignment_group=57aa6b8b1b5fa4d0bdcb42a7b04bcb39^EQ
AUT0002465,short_descriptionLIKELow disk space^ORshort_descriptionLIKEmount has high disk space^ORdescriptionLIKEavailable space on disk^ORdescriptionLIKELow disk space^ORdescriptionLIKEmount has high disk space^ORshort_descriptionLIKEUsed Space is more than^assignment_group=57aa6b8b1b5fa4d0bdcb42a7b04bcb39^EQ
AUT0002463,assignment_group=73aaeb8b1b5fa4d0bdcb42a7b04bcb22^short_descriptionLIKEUnable to link product^ORshort_descriptionLIKEUnable to log in^EQ
AUT0002462,"short_descriptionLIKEBilling failed, incorrect CPS^assignment_group=a6aaa78b1b5fa4d0bdcb42a7b04bcb53^EQ"
AUT0002460,assignment_group=75ba63cb1b5fa4d0bdcb42a7b04bcb87^short_descriptionSTARTSWITHNFS Microservices^descriptionLIKE^EQ
AUT0002457,short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEWeb services call failed in ETW services^assignment_group=bf3c4c571b8361108e7440c3b24bcbdc^EQ
AUT0002455,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=b8535a7cdb1f6410609eae3bd396196e^EQ
AUT0002452,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEProcess webLogic^business_service=fb535e7cdb1f6410609eae3bd39619fe^EQ
AUT0002440,short_descriptionSTARTSWITHAIOPS Retire the instance^EQ
AUT0002439,short_descriptionLIKEGS WFMT : Dev^EQ
AUT0002433,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=5c83d6bcdb1f6410609eae3bd3961997^EQ
AUT0002431,short_descriptionLIKERAM mem>95^assignment_group=33aaeb8b1b5fa4d0bdcb42a7b04bcb5a^EQ
AUT0002428,short_descriptionLIKEUpdating billing changes^cmdb_ci=338f97a01be5f41062d2db92b24bcb19^EQ
AUT0002423,assignment_group=9faa6b8b1b5fa4d0bdcb42a7b04bcb5b^ORshort_descriptionLIKESynthmon id: 587 failed^ORshort_descriptionLIKESynthmon id: 586 failed^ORshort_descriptionLIKEUnable to see current share price^ORshort_descriptionLIKEFailed to see bt.com page load successfully^EQ
AUT0002419,business_service=49535a7cdb1f6410609eae3bd3961983^ORcmdb_ci=338f97a01be5f41062d2db92b24bcb19^short_descriptionLIKEUpdating attribute values^EQ
AUT0002417,short_descriptionLIKEGeneric^business_serviceLIKEAPP21258^ORbusiness_serviceLIKEAPP20917^ORbusiness_serviceLIKEAPP10865^assignment_group=0bf06ce61b3e09908466337f034bcbdc^ORassignment_group=327faab397e55590c2a7321f2153af8a^EQ
AUT0002416,short_description=Cancel Future KCIs^descriptionLIKEOrderRef:^business_service=3e939ebcdb1f6410609eae3bd39619e3^EQ
AUT0002401,caller_id=9d5de9e5930022005bc5f179077ffb07^ORcaller_id=cab2d75cdb17e010609eae3bd3961916^assignment_group=b5ba63cb1b5fa4d0bdcb42a7b04bcbaf^short_descriptionLIKEDynatrace: Connectivity problem - zeus.zxtm^ORshort_descriptionLIKEConnectivity problem - zeus.zxtm^EQ
AUT0002398,short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/siebel^ORdescriptionLIKE/var^business_service=b5539a7cdb1f6410609eae3bd3961983^EQ
AUT0002394,business_service=37535e7cdb1f6410609eae3bd39619ff^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/wls_domains_logs^EQ
AUT0002391,short_descriptionLIKEcom.experian.match.standalone.MatchApplication^assignment_group=7615a3dd971fed1062627cce2153afba^descriptionLIKEcom.experian.match.standalone.MatchApplication^descriptionLIKEProcess unavailable^EQ
AUT0002379,assignment_group=9faa6b8b1b5fa4d0bdcb42a7b04bcb5b^short_descriptionLIKESynthmon id: 587 failed^ORshort_descriptionLIKESynthmon id: 586 failed^ORshort_descriptionLIKEUnable to see current share price^ORshort_descriptionLIKEFailed to see bt.com page load successfully^EQ
AUT0002375,short_descriptionLIKELow number of inodes available^assignment_group=56bae3cb1b5fa4d0bdcb42a7b04bcbb5^EQ
AUT0002374,short_descriptionLIKECPU saturation^assignment_group=56bae3cb1b5fa4d0bdcb42a7b04bcbb5^EQ
AUT0002373,short_descriptionLIKELow disk space^ORshort_descriptionLIKEmount has high disk space^ORdescriptionLIKEavailable space on disk^ORdescriptionLIKELow disk space^ORdescriptionLIKEmount has high disk space^ORshort_descriptionLIKEUsed Space is more than^assignment_group=56bae3cb1b5fa4d0bdcb42a7b04bcbb5^EQ
AUT0002372,short_descriptionLIKELow number of inodes available^assignment_group=6daaa38b1b5fa4d0bdcb42a7b04bcbd3^EQ
AUT0002371,short_descriptionLIKECPU saturation^assignment_group=6daaa38b1b5fa4d0bdcb42a7b04bcbd3^EQ
AUT0002370,short_descriptionLIKELow disk space^ORshort_descriptionLIKEmount has high disk space^ORdescriptionLIKEavailable space on disk^ORdescriptionLIKELow disk space^ORdescriptionLIKEmount has high disk space^assignment_group=6daaa38b1b5fa4d0bdcb42a7b04bcbd3^short_descriptionNOT LIKEMultiple infrastructure problems^EQ
AUT0002369,short_descriptionLIKECPU saturation^assignment_group=75aa278b1b5fa4d0bdcb42a7b04bcb06^EQ
AUT0002368,short_descriptionLIKELow number of inodes available^assignment_group=75aa278b1b5fa4d0bdcb42a7b04bcb06^EQ
AUT0002366,short_descriptionLIKELow disk space^ORshort_descriptionLIKEmount has high disk space^ORdescriptionLIKELow disk space^ORdescriptionLIKEmount has high disk space^ORdescriptionLIKEavailable space on disk^assignment_group=75aa278b1b5fa4d0bdcb42a7b04bcb06^EQ
AUT0002364,short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/apps/bmc/java/jdk/jre/bin/Entuity^business_service=5c83d6bcdb1f6410609eae3bd3961997^EQ
AUT0002352,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=97531e7cdb1f6410609eae3bd39619f5^EQ
AUT0002347,assignment_group=f8baaf8b1b5fa4d0bdcb42a7b04bcbff^short_descriptionLIKEDynatrace: Process unavailable - IIS app pool^descriptionLIKEProcess IIS app pool^descriptionLIKEProcess unavailable^business_service=30535a7cdb1f6410609eae3bd3961939^EQ
AUT0002338,short_descriptionLIKETEST-AIOPS-Past data^EQ
AUT0002325,short_descriptionLIKEDynatrace: Low disk space - blp12856019^assignment_group=5eaa678b1b5fa4d0bdcb42a7b04bcbef^EQ
AUT0002324,short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEWeb services call failed in ETW services^assignment_group=65ba63cb1b5fa4d0bdcb42a7b04bcb16^EQ
AUT0002320,short_descriptionSTARTSWITHProblem Testing^EQ
AUT0002319,active=true^short_descriptionSTARTSWITHRetry automation mechanism for advance scenario^EQ
AUT0002313,business_service=a27356bcdb1f6410609eae3bd396199f^short_descriptionLIKEMonitorIT:^short_descriptionLIKEH: Drive Utilisation^ORshort_descriptionLIKEBTNAGIOS:DRIVE: Drive H:^NQbusiness_service=a27356bcdb1f6410609eae3bd396199f^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKEdisk H:\^EQ
AUT0002312,short_descriptionLIKEKSU Consumption: Test^short_descriptionLIKEEXP^ORshort_descriptionLIKECSP^business_service=c87392bcdb1f6410609eae3bd39619f4^EQ
AUT0002311,descriptionLIKEUser to create^ORshort_descriptionLIKEUser to create^descriptionLIKEEIN^ORshort_descriptionLIKEEIN^assignment_group=96c9cae19707f1d0d368fbde2153affb^EQ
AUT0002310,short_descriptionLIKECPE price^short_descriptionLIKEquote^EQ
AUT0002309,short_description=DEMO-BTAEM - Portal-author standby is not in sync with primary server-TEST^EQ
AUT0002307,short_descriptionLIKEConnectivity problem^assignment_group=b9aa278b1b5fa4d0bdcb42a7b04bcb0a^EQ
AUT0002305,short_descriptionLIKECan't login / error^ORshort_descriptionLIKEMy EE - Unable to log in^priority=4^short_descriptionNOT LIKEapp^descriptionNOT LIKEapp^EQ
AUT0002304,short_descriptionLIKECS Agent^short_descriptionLIKECan't login / error^priority=4^EQ
AUT0002302,short_descriptionLIKELow number of inodes available^assignment_group=b9aa278b1b5fa4d0bdcb42a7b04bcb0a^EQ
AUT0002291,short_descriptionSTARTSWITHDynatrace:^short_descriptionLIKELow disk space - blp10865631^assignment_group=80baeb8b1b5fa4d0bdcb42a7b04bcb97^EQ
AUT0002280,assignment_group=75ba63cb1b5fa4d0bdcb42a7b04bcb87^short_descriptionLIKEDynatrace: Metaspaceexception^EQ
AUT0002273,short_descriptionSTARTSWITHvinayak-testing^EQ
AUT0002271,short_descriptionSTARTSWITH : CS Agent^priority=4^EQ
AUT0002269,short_descriptionLIKEBIPAT Fingerprinting issue^assignment_group=7ccaebcb1b5fa4d0bdcb42a7b04bcb6c^EQ
AUT0002267,business_service=05535a7cdb1f6410609eae3bd3961985^short_descriptionSTARTSWITHTest Updating attributes and billing^EQ
AUT0002265,short_descriptionSTARTSWITHDynatrace:^short_descriptionLIKELow disk space - blp10865631^assignment_group=80baeb8b1b5fa4d0bdcb42a7b04bcb97^EQ
AUT0002257,short_descriptionSTARTSWITHSiebel OneView : Mobility Issues : ESB Issues ^assignment_group=80baeb8b1b5fa4d0bdcb42a7b04bcb97^EQ
AUT0002254,business_service=c1931ebcdb1f6410609eae3bd39619f9^short_descriptionLIKEFailure in APPDB  logs^EQ
AUT0002253,business_service=c1931ebcdb1f6410609eae3bd39619f9^short_descriptionLIKEFailure in ConfigDB logs^EQ
AUT0002252,business_service=c1931ebcdb1f6410609eae3bd39619f9^short_descriptionLIKEFailure in Shard logs^EQ
AUT0002250,123TEXTQUERY321LIKELow disk space^OR123TEXTQUERY321LIKEmount has high disk space^123TEXTQUERY321=b9aa278b1b5fa4d0bdcb42a7b04bcb0a^EQ
AUT0002249,short_description=Automation Framework Smoke Testing ^EQ
AUT0002244,assignment_group=cdca2fcb1b5fa4d0bdcb42a7b04bcb1b^EQ
AUT0002243,business_service=c1931ebcdb1f6410609eae3bd39619f9^short_descriptionLIKEFailure in Router logs^EQ
AUT0002239,short_descriptionSTARTSWITHDynatrace:^short_descriptionLIKE[APP12126]StuckFaultsProgressed Custom Severity^assignment_group=09baef8b1b5fa4d0bdcb42a7b04bcbcf^EQ
AUT0002238,short_descriptionLIKECPU saturation^assignment_group=b9aa278b1b5fa4d0bdcb42a7b04bcb0a^EQ
AUT0002235,business_service=c573d2bcdb1f6410609eae3bd39619f6^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/var^ORdescriptionLIKE/var/log^EQ
AUT0002234,business_service=487392bcdb1f6410609eae3bd39619f3^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/rsqe^ORdescriptionLIKE/var^EQ
AUT0002232,short_descriptionLIKEDynatrace: Connectivity problem^assignment_group=bd63f7994754a1509665758c736d430e^EQ
AUT0002230,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=43839abcdb1f6410609eae3bd39619c8^EQ
AUT0002229,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=23535e7cdb1f6410609eae3bd39619bb^EQ
AUT0002226,business_service=23535e7cdb1f6410609eae3bd39619b2^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/wls_domain_logs^ORdescriptionLIKE/var^EQ
AUT0002224,descriptionLIKEProcess unavailable^descriptionLIKEcom.experian.match.standalone.MatchApplication^EQ
AUT0002223,"short_descriptionLIKEBerT user,^EQ"
AUT0002218,business_service=5f531e7cdb1f6410609eae3bd39619f4^short_descriptionLIKEDynatrace: Process unavailable - SpringBoot^descriptionLIKESpringBoot^EQ
AUT0002214,short_descriptionLIKEProcess unavailable - Weblogic^descriptionLIKEProcess unavailable^descriptionLIKEProcess WebLogic^business_service=2a53da7cdb1f6410609eae3bd396195c^EQ
AUT0002213,business_service=487392bcdb1f6410609eae3bd39619f3^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/wls_domains^ORdescriptionLIKE/var^EQ
AUT0002211,short_descriptionLIKEEligibilityUnavailabilityReasonGeneric ^business_serviceLIKEAPP21258^assignment_group=0bf06ce61b3e09908466337f034bcbdc^EQ
AUT0002210,assignment_group=5abaa3cb1b5fa4d0bdcb42a7b04bcbfc^ORassignment_group=32aae78b1b5fa4d0bdcb42a7b04bcb6d^ORassignment_group=92bae3cb1b5fa4d0bdcb42a7b04bcba8^ORassignment_group=3c4a467197662510f76736ee2153afd5^short_descriptionLIKEUnexpected low load^EQ
AUT0002204,business_service=b8535a7cdb1f6410609eae3bd396193d^short_descriptionLIKEDynatrace: Process unavailable^ORshort_descriptionLIKEDynatrace: Connectivity problem^ORshort_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^ORdescriptionLIKE/var/log^ORdescriptionLIKE/opt^EQ
AUT0002201,short_descriptionLIKEDynatrace: Connectivity problem^ORshort_descriptionLIKEWERMS_ERROR_DB_PROBE^ORshort_descriptionLIKEUnexpected low load^ORshort_descriptionLIKEUnexpected high load^assignment_group=b0baaf8b1b5fa4d0bdcb42a7b04bcbf0^ORassignment_group=644a467197662510f76736ee2153afc9^EQ
AUT0002191,short_description=AIOPS-Private Pricing CTN  Upload^EQ
AUT0002186,business_service=c1931ebcdb1f6410609eae3bd39619f9^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: /batchjobs^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/batchjobs^EQ
AUT0002185,short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEWeb services call failed in ETW services^assignment_group=bf3c4c571b8361108e7440c3b24bcbdc^EQ
AUT0002181,short_descriptionLIKE/usr/local/kong/js_pluginserver.sock failed^EQ
AUT0002179,assignment_group=99baef8b1b5fa4d0bdcb42a7b04bcbd5^ORassignment_group=ddbaef8b1b5fa4d0bdcb42a7b04bcbd9^ORassignment_group=19baef8b1b5fa4d0bdcb42a7b04bcbd8^ORassignment_group=51baef8b1b5fa4d0bdcb42a7b04bcbd7^short_descriptionLIKE/logs are  filling  above 75%^ORshort_descriptionLIKE/logs is filling up^ORshort_descriptionLIKE/logs partition has exceeded 75% full^ORshort_descriptionLIKE/logs is getting full^ORshort_descriptionLIKE/logs is above 75%^short_descriptionLIKEblp00658714^ORshort_descriptionLIKEblp00658715^ORshort_descriptionLIKEblp00658764^ORshort_descriptionLIKEblp00658765^ORshort_descriptionLIKEblp00658740^ORshort_descriptionLIKEblp00658741^ORshort_descriptionLIKEblp00658752^ORshort_descriptionLIKEblp00658753^ORshort_descriptionLIKEblp00658712^ORshort_descriptionLIKEblp00658713^ORshort_descriptionLIKEblp00658762^ORshort_descriptionLIKEblp00658763^ORshort_descriptionLIKEblp00658738^ORshort_descriptionLIKEblp00658739^ORshort_descriptionLIKEblp00658750^ORshort_descriptionLIKEblp00658751^ORshort_descriptionLIKEblp00658300^ORshort_descriptionLIKEblp00658301^ORshort_descriptionLIKEblp00658340^ORshort_descriptionLIKEblp00658341^ORshort_descriptionLIKEblp00658071^ORshort_descriptionLIKEblp00658072^ORshort_descriptionLIKEblp00658073^ORshort_descriptionLIKEblp00658074^ORshort_descriptionLIKEblp00658238^ORshort_descriptionLIKEblp00658239^ORshort_descriptionLIKEblp00658240^ORshort_descriptionLIKEblp00658241^ORshort_descriptionLIKEblp00658262^ORshort_descriptionLIKEblp00658263^ORshort_descriptionLIKEblp00658264^ORshort_descriptionLIKEblp00658265^ORshort_descriptionLIKEblp00658302^ORshort_descriptionLIKEblp00658303^ORshort_descriptionLIKEblp00658316^ORshort_descriptionLIKEblp00658317^ORshort_descriptionLIKEblp00658318^ORshort_descriptionLIKEblp00658319^ORshort_descriptionLIKEblp00658342^ORshort_descriptionLIKEblp00658343^EQ
AUT0002178,assignment_group=99baef8b1b5fa4d0bdcb42a7b04bcbd5^ORassignment_group=ddbaef8b1b5fa4d0bdcb42a7b04bcbd9^ORassignment_group=19baef8b1b5fa4d0bdcb42a7b04bcbd8^ORassignment_group=51baef8b1b5fa4d0bdcb42a7b04bcbd7^short_descriptionLIKE/logs are  filling  above 75%^ORshort_descriptionLIKE/logs is filling up^ORshort_descriptionLIKE/logs partition has exceeded 75% full^ORshort_descriptionLIKE/logs is getting full^ORshort_descriptionLIKE/logs is above 75%^short_descriptionLIKEblp00658748^ORshort_descriptionLIKEblp00658760^ORshort_descriptionLIKEblp00658736^ORshort_descriptionLIKEblp00658710^ORshort_descriptionLIKEblp00658068^ORshort_descriptionLIKEblp00658069^ORshort_descriptionLIKEblp00658236^ORshort_descriptionLIKEblp00658237^ORshort_descriptionLIKEblp00658260^ORshort_descriptionLIKEblp00658261^ORshort_descriptionLIKEblp00658298^ORshort_descriptionLIKEblp00658299^ORshort_descriptionLIKEblp00658314^ORshort_descriptionLIKEblp00658315^ORshort_descriptionLIKEblp00658338^ORshort_descriptionLIKEblp00658339^EQ
AUT0002177,assignment_group=99baef8b1b5fa4d0bdcb42a7b04bcbd5^ORassignment_group=ddbaef8b1b5fa4d0bdcb42a7b04bcbd9^ORassignment_group=19baef8b1b5fa4d0bdcb42a7b04bcbd8^ORassignment_group=51baef8b1b5fa4d0bdcb42a7b04bcbd7^short_descriptionLIKE/logs are  filling  above 75%^ORshort_descriptionLIKE/logs is filling up^ORshort_descriptionLIKE/logs partition has exceeded 75% full^ORshort_descriptionLIKE/logs is getting full^ORshort_descriptionLIKE/logs is above 75%^short_descriptionLIKEblp00658718^ORshort_descriptionLIKEblp00658719^ORshort_descriptionLIKEblp00658720^ORshort_descriptionLIKEblp00658721^ORshort_descriptionLIKEblp00658722^ORshort_descriptionLIKEblp00658723^ORshort_descriptionLIKEblp00658766^ORshort_descriptionLIKEblp00658767^ORshort_descriptionLIKEblp00658768^ORshort_descriptionLIKEblp00658769^ORshort_descriptionLIKEblp00658770^ORshort_descriptionLIKEblp00658771^ORshort_descriptionLIKEblp00658742^ORshort_descriptionLIKEblp00658743^ORshort_descriptionLIKEblp00658744^ORshort_descriptionLIKEblp00658745^ORshort_descriptionLIKEblp00658746^ORshort_descriptionLIKEblp00658747^ORshort_descriptionLIKEblp00658754^ORshort_descriptionLIKEblp00658755^ORshort_descriptionLIKEblp00658756^ORshort_descriptionLIKEblp00658757^ORshort_descriptionLIKEblp00658758^ORshort_descriptionLIKEblp00658759^ORshort_descriptionLIKEblp00658242^ORshort_descriptionLIKEblp00658243^ORshort_descriptionLIKEblp00658244^ORshort_descriptionLIKEblp00658245^ORshort_descriptionLIKEblp00658246^ORshort_descriptionLIKEblp00658247^ORshort_descriptionLIKEblp00658254^ORshort_descriptionLIKEblp00658255^ORshort_descriptionLIKEblp00658256^ORshort_descriptionLIKEblp00658257^ORshort_descriptionLIKEblp00658258^ORshort_descriptionLIKEblp00658259^ORshort_descriptionLIKEblp00658266^ORshort_descriptionLIKEblp00658267^ORshort_descriptionLIKEblp00658268^ORshort_descriptionLIKEblp00658269^ORshort_descriptionLIKEblp00658270^ORshort_descriptionLIKEblp00658271^ORshort_descriptionLIKEblp00658100^ORshort_descriptionLIKEblp00658101^ORshort_descriptionLIKEblp00658102^ORshort_descriptionLIKEblp00658105^ORshort_descriptionLIKEblp00658106^ORshort_descriptionLIKEblp00658107^ORshort_descriptionLIKEblp00658164^ORshort_descriptionLIKEblp00658165^ORshort_descriptionLIKEblp00658166^ORshort_descriptionLIKEblp00658169^ORshort_descriptionLIKEblp00658170^ORshort_descriptionLIKEblp00658171^ORshort_descriptionLIKEblp00658228^ORshort_descriptionLIKEblp00658229^ORshort_descriptionLIKEblp00658230^ORshort_descriptionLIKEblp00658233^ORshort_descriptionLIKEblp00658234^ORshort_descriptionLIKEblp00658235^ORshort_descriptionLIKEblp00658280^ORshort_descriptionLIKEblp00658281^ORshort_descriptionLIKEblp00658282^ORshort_descriptionLIKEblp00658283^ORshort_descriptionLIKEblp00658284^ORshort_descriptionLIKEblp00658285^ORshort_descriptionLIKEblp00658292^ORshort_descriptionLIKEblp00658293^ORshort_descriptionLIKEblp00658294^ORshort_descriptionLIKEblp00658295^ORshort_descriptionLIKEblp00658296^ORshort_descriptionLIKEblp00658297^ORshort_descriptionLIKEblp00658304^ORshort_descriptionLIKEblp00658305^ORshort_descriptionLIKEblp00658306^ORshort_descriptionLIKEblp00658307^ORshort_descriptionLIKEblp00658308^ORshort_descriptionLIKEblp00658309^ORshort_descriptionLIKEblp00658320^ORshort_descriptionLIKEblp00658321^ORshort_descriptionLIKEblp00658322^ORshort_descriptionLIKEblp00658323^ORshort_descriptionLIKEblp00658324^ORshort_descriptionLIKEblp00658325^ORshort_descriptionLIKEblp00658332^ORshort_descriptionLIKEblp00658333^ORshort_descriptionLIKEblp00658334^ORshort_descriptionLIKEblp00658335^ORshort_descriptionLIKEblp00658336^ORshort_descriptionLIKEblp00658337^ORshort_descriptionLIKEblp00658344^ORshort_descriptionLIKEblp00658345^ORshort_descriptionLIKEblp00658346^ORshort_descriptionLIKEblp00658347^ORshort_descriptionLIKEblp00658348^ORshort_descriptionLIKEblp00658349^EQ
AUT0002176,short_descriptionSTARTSWITHAdvance service request test case^EQ
AUT0002176,assignment_group=99baef8b1b5fa4d0bdcb42a7b04bcbd5^ORassignment_group=ddbaef8b1b5fa4d0bdcb42a7b04bcbd9^ORassignment_group=19baef8b1b5fa4d0bdcb42a7b04bcbd8^ORassignment_group=51baef8b1b5fa4d0bdcb42a7b04bcbd7^short_descriptionLIKE/logs are  filling  above 75%^ORshort_descriptionLIKE/logs is filling up^ORshort_descriptionLIKE/logs partition has exceeded 75% full^ORshort_descriptionLIKE/logs is getting full^ORshort_descriptionLIKE/logs is above 75%^short_descriptionLIKEblp00658383^ORshort_descriptionLIKEblp00658384^ORshort_descriptionLIKEblp00658457^ORshort_descriptionLIKEblp00658458^ORshort_descriptionLIKEblp00658533^ORshort_descriptionLIKEblp00658534^ORshort_descriptionLIKEblp00658605^ORshort_descriptionLIKEblp00658606^EQ
